international_handbook,"What is the official contact email for the International Student Affairs Office (ISAO)?","The official contact email for the International Student Affairs Office (ISAO) at Xiamen University Malaysia is internationaloffice@xmu.edu.my.","ISAO, contact, email"
international_handbook,"Where is the International Student Affairs Office (ISAO) located?","The International Student Affairs Office (ISAO) is located at B1-104.","ISAO, location, office"
international_handbook,"What topics are covered in the International Student Handbook?","The handbook covers Introduction, International Student Pre-Arrival Guidelines, International Student Post-Arrival Guidelines, and Rules and Regulations for International Students.","handbook, topics, guide"
international_handbook,"When was Xiamen University (XMU) established and by whom?","Xiamen University (XMU) was established in 1921 by the well-known overseas Chinese entrepreneur Tan Kah Kee.","XMU, establishment, founder"
international_handbook,"What are the key features of Xiamen University (XMU)?","Key features of Xiamen University (XMU) include Academic Excellence, Research and Innovation, a Beautiful Campus, and Global Presence, including its international campus Xiamen University Malaysia (XMUM).","XMU, features, excellence"
international_handbook,"What is the capital city of Malaysia?","The capital city of Malaysia is Kuala Lumpur, with Putrajaya as the administrative capital.","Malaysia, capital, Kuala Lumpur"
international_handbook,"What is the official currency of Malaysia?","The official currency of Malaysia is the Malaysian Ringgit (MYR).","Malaysia, currency, MYR"
international_handbook,"When was Xiamen University Malaysia (XMUM) established and where is it located?","Xiamen University Malaysia (XMUM) was officially established in 2016 and is located in Sepang, Selangor, near Kuala Lumpur.","XMUM, establishment, location"
international_handbook,"What are the primary languages of instruction at Xiamen University Malaysia (XMUM)?","Mandarin and English are the primary languages of instruction at Xiamen University Malaysia (XMUM), offering students a bilingual advantage.","XMUM, languages, instruction"
international_handbook,"Are degrees awarded by Xiamen University Malaysia (XMUM) internationally recognized?","Yes, degrees awarded by Xiamen University Malaysia (XMUM) are internationally recognized.","XMUM, degrees, recognition"
international_handbook,"What is the role of the International Student Affairs Office (ISAO) at XMUM?","The International Student Affairs Office (ISAO) at XMUM plays a vital role in supporting international students throughout their academic journey, from pre-arrival guidance to visa processing, accommodation, and student welfare.","ISAO, role, support"
international_handbook,"What are the key objectives of the International Student Affairs Office (ISAO)?","The key objectives of ISAO include providing comprehensive support services for international students, ensuring compliance with Malaysian immigration regulations, creating a welcoming environment, assisting with accommodation, medical insurance, and banking services, and organizing orientation programs and cultural exchange activities.","ISAO, objectives, services"
international_handbook,"What visa and immigration services does the ISAO provide?","The ISAO provides new student visa processing, visa renewal guidance, handling student pass deferment, cancellations, and extensions, and i-Kad processing.","ISAO, visa, immigration, services"
international_handbook,"How can students contact the International Student Affairs Office (ISAO)?","Students can contact the ISAO at their office location (B1-104), by phone (+603-88006838), or via email (internationaloffice@xmu.edu.my). Office hours are 9am to 5pm.","ISAO, contact, phone, email"
international_handbook,"What is the first step an international student must take after receiving an Offer Letter from Xiamen University Malaysia?","Upon receiving an Offer Letter, students must confirm their acceptance by signing and returning the acceptance form.","offer letter, acceptance, pre-arrival"
international_handbook,"What documents are required for an eVAL (Visa Approval Letter) application?","Required documents for an eVAL application include a copy of the passport (valid for at least 18 months), Offer Letter from Xiamen University Malaysia, academic transcripts and certificates, English proficiency test results (if required), passport-sized photos (white background), and the visa processing fee.","eVAL, documents, requirements"
international_handbook,"How long does the eVAL processing typically take?","The eVAL processing time typically takes 4 to 12 weeks.","eVAL, processing, timeline"
international_handbook,"What is a Single-Entry Visa (SEV) for international students in Malaysia?","The SEV is a one-time entry visa required for students from countries that need a visa to enter Malaysia, which must be obtained before arrival from the Malaysian Embassy or Consulate in the student's home country.","SEV, visa, entry"
