clubs_societies,question,answer,keywords
clubs_societies,"What department manages clubs and societies at Xiamen University Malaysia?","The Extra-Curricular Activities (ECA) Department manages clubs and societies at Xiamen University Malaysia.","ECA, department, Xiamen, Malaysia"
clubs_societies,"What is the overall goal of joining clubs and societies at Xiamen University Malaysia?","The overall goal of joining clubs and societies at Xiamen University Malaysia is to ""Unleash Your Potential"" through Extra-Curricular Activities (ECA).","potential, ECA, activities, growth"
clubs_societies,"What types of activities do sports clubs offer?","Sports clubs offer activities to fuel competitive spirit and help students stay active, catering to every level of athletic ability.","sports, active, competitive, athletic"
clubs_societies,"Can you list some of the sports clubs available at Xiamen University Malaysia?","Some of the sports clubs available include Badminton Club, Swimming Club, Acrux Cheerleading Club, Football Club, Martial Arts Club, Basketball Club (Sharks), Table Tennis Club, Tennis Club, Volleyball Club, Track & Field Club, Fitness Club, Outdoor Adventure Club, Kendo Club, Chess Club, Blaze Dodgeball Club, Ultimate Frisbee Club (Krakens), E-Sport Club (Vulcan), Scuba Diving Club, and Yoga Club.","sports, list, clubs, physical"
clubs_societies,"What is the main objective of the 'General' category clubs?","The main objective of the General clubs is to allow students to explore a wide range of interests, develop new skills, engage in meaningful discussions, connect with peers, and grow personally and socially outside the classroom.","general, skills, social, interests"
clubs_societies,"Which clubs fall under the 'General' category?","Clubs under the 'General' category include Board Games Society, XMUM Business Association, Chinese Debate Society, English Language Society, Math Society, Photography Society, Speak-T Society, Environmental Club, Astronomy Club, X-Tech Club, Robotic Club, Rubik's Club, Coding Club, and AI Club.","general, academic, diverse, hobbies"
clubs_societies,"What talents can students showcase in Performing Arts clubs?","Students can showcase their talents in music, dance, or drama through Performing Arts clubs, which light up the stage with performances, concerts, and creative showcases.","performing, arts, music, dance"
clubs_societies,"Name some clubs dedicated to performing arts.","Performing arts clubs include XMUM Philharmonic Orchestra (XMPO), Music Club, Ukulele Society, Yanan Chinese Orchestra (YCO), Dance Club, Drama Society, 24 Festive Drums Club, and Diabolo Club.","orchestra, drama, dance, music"
clubs_societies,"What is the focus of the Culture & Arts clubs?","The focus of the Culture & Arts clubs is to explore creativity and global perspectives through culture, art, and expression, connecting members and bringing diverse worlds to campus life.","culture, art, global, diversity"
clubs_societies,"Which clubs promote culture and arts?","Clubs promoting culture and arts are Visual Art Club, Nanqiang Calligraphy Society, Chinese Society, Christian Fellowship Club, Traditional Chinese Medicine Society, Buddhist Society, Korean Cultures & Arts Society, ACG Research Society, Tea Club, Coffee Club - The Brewix, Muslim Society, and Handcraft Society.","cultural, societies, art, traditional"
clubs_societies,"What is the purpose of Service & Volunteerism clubs?","The purpose of Service & Volunteerism clubs is to make a difference through community service and social impact initiatives, empowering students to give back, raise awareness, and become agents of positive change.","service, volunteer, community, impact"
clubs_societies,"List some Service & Volunteerism clubs.","Some Service & Volunteerism clubs include First Aid Society, AIESEC, Omega Leo Club, Rotaract Club, and Youth Leader Association.","charity, help, aid, leadership"
clubs_societies,"What do International Communities clubs offer students?","International Communities clubs offer students a global community experience on campus, allowing them to celebrate cultural identities, foster cross-cultural understanding, and build global friendships.","international, community, culture, global"
clubs_societies,"Can you name specific international student communities at Xiamen University Malaysia?","Specific international student communities are International Student Ambassador (ISA), XMUM Yemen Student Community, XMUM Central Asia Student Community (CASC), and XMUM Indonesian Student Community - Garuda Dwi Pantara (GADPA).","international, students, ambassador, communities"
